name,url
"City of Boise - Open Data",http://opendata.cityofboise.org
"Kenya Open Data",http://www.opendata.go.ke
"Tallahassee Open Data",http://talgov.tlcgis.opendata.arcgis.com
"Hack The Commute",http://hackthecommute.esrihax.opendata.arcgis.com
"City of Kitchener",http://data.kitchenergis.opendata.arcgis.com
"OpenData South Bend Indiana",http://portal.southbend.opendata.arcgis.com
"City of Brantford",http://data.brantford.opendata.arcgis.com
"Concello de Lugo",http://concellolugo.esrism.opendata.arcgis.com
"Northwest Florida Water Management District",http://data.nwfwmd.opendata.arcgis.com
"Boulder County Open Geospatial Data",http://gis.bouldercounty.opendata.arcgis.com
"MGRC Open Data",http://mgrc.garc.opendata.arcgis.com
"City of Perrysburg Open Data",http://data.pburg.opendata.arcgis.com
"City of Fayetteville Open Data",http://data.fayettevillenc.gov
"Danmarks Milj\u00f8portals Open Data",http://mdi.dmp.opendata.arcgis.com
"Portal Open Data Ayto Madrid",http://portal.madrid.opendata.arcgis.com
"Minist\u00e8re de l\u2019Environnement et D\u00e9veloppement Durable - Donn\u00e9es Publiques",http://cod-data.atlas-forestier.org
"Open Data Viewer - Cabarrus County, NC",http://gis.cabarrus.opendata.arcgis.com
"City of Houston GIS Open Data",http://cohgis.mycity.opendata.arcgis.com
"Open data for Africa's Great Lakes Region",http://greatlakes.esri-rw.opendata.arcgis.com
"City of Thornton",http://data.cityofthornton.opendata.arcgis.com
"BostonOpenData",http://bostonopendata.boston.opendata.arcgis.com
"OpenRamsey",http://openramsey.ramseygis.opendata.arcgis.com
"Open Data - Ayuntamiento de Madrid",http://opendata.madrid.opendata.arcgis.com
"City of Hayward",http://opendata.hayward-ca.gov
"City of Oshawa Open Data",http://city.oshawa.opendata.arcgis.com
"Sauk County Open Data Repository - Upgrade",http://data.saukgis.opendata.arcgis.com
"The City of Greer, South Carolina",http://data.cityofgreersc.opendata.arcgis.com
"Innovate! Inc.",http://data.innovate.opendata.arcgis.com
"Greater Wellington Regional Council Open Data",http://data.gwrc.opendata.arcgis.com
"Mid-Ohio Regional Planning Commission",http://public.morpc.opendata.arcgis.com
"Polk County Minnesota GIS",http://data.pcg.opendata.arcgis.com
"City of Tucson",http://gisdata.tucsonaz.gov
"Assateague Island National Seashore",http://asis.nps.opendata.arcgis.com
"Forestry Commission",http://data.forestry.opendata.arcgis.com
"State of Delaware",http://opendata.firstmap.delaware.gov
"City of Virginia Beach Open Data Portal",http://gis.data.vbgov.com
"Pierce County WA Open GeoSpatial Data Portal",http://gisdata.piercecowa.opendata.arcgis.com
"Kentucky Open GIS Data",http://kygovmaps.kygeonet.opendata.arcgis.com
"Open Data",http://data.tompkinscounty.opendata.arcgis.com
"Ordnance Survey Ireland",http://data.osi.opendata.arcgis.com
"American Samoa GIS",http://data.asdoc.opendata.arcgis.com
"Washington State GeoServices",http://geo.wa.gov
"City of Springfield, Missouri",http://gisdata.cosmo.opendata.arcgis.com
"County of Santa Clara",http://prod.sccgov.opendata.arcgis.com
"Montgomery County, Texas Open Data",http://data.moco.opendata.arcgis.com
"Helsingin seudun liikenne (HSL)",http://data.hslhrt.opendata.arcgis.com
"Scottish Government",http://scottishgovernment.bureau.opendata.arcgis.com
"GIS Data - City of Worcester, MA",http://gisdata.worcesterma.gov
