url,name,datasets
churned-data.awcnet.org,"churned-data.awcnet.org",99
data.kray.com,"data.kray.com",0
data.sunlightlabs.com,"data.sunlightlabs.com",416
hsmp-data.aspe.hhs.gov,"hsmp-data.aspe.hhs.gov",447
reports.awcnet.org,"reports.awcnet.org",1
data.gates.org,"gates.org - This website is for sale! - Gates Resources and Information.",2
data.illinois.gov,"Welcome - data.illinois.gov",676
chhs.data.ca.gov,"Welcome - California Health and Human Services Open Data Portal",488
data.cese.nsw.gov.au,"NSW Education Datahub |",142
data.mass.gov,"Massachusetts Document Repository",69
greengov.data.ca.gov,"data.ca.gov",85
performance.austintexas.gov,"Performance ATX",1
data.sfgov.org,"DataSF | San Francisco Open Data",1003
reportcard.santamonicayouth.net,"santamonicayouth.net - This website is for sale! - santamonicayouth Resources and Information.",148
bchi.bigcitieshealth.org,"BCHC Data Platform",84
opendata.fcc.gov,"Consumer Complaint Data Center | Federal Communications Commission",56
openpaymentsdata.cms.gov,"Open Payments Data - CMS | OpenPaymentsData.CMS.gov",16
brigades.opendatanetwork.com,"Brigade Open Data Sharing Platform | Socrata | Brigade Open Data Sharing Platform | Socrata",499
amopen.amo.on.ca,"AMOpen | AMOpen
",69
dashboard.plano.gov,"City of Plano Dashboard | Open Data | Socrata",112
data.calgary.ca,"Open Calgary | Open Calgary",364
data.cdc.gov,"Data | Centers for Disease Control and Prevention | Data | Centers for Disease Control and Prevention",258
data.cityofchicago.org,"City of Chicago | Data Portal | City of Chicago | Data Portal",1171
data.baltimorecity.gov,"Baltimore | Open Data | Open Baltimore | City of Baltimore's Open Data Catalog",2205
data.cityofevanston.org,"City of Evanston, IL Open Data | City of Evanston, IL Open Data",206
data.cms.gov,"Data.CMS.gov | Data.CMS.gov",568
data.cityofgainesville.org,"Open Data Portal | Open Data Portal
",265
data.cityofgp.com,"City of Grande Prairie | Open Data | Open Data | City of Grande Prairie",83
data.cityoftacoma.org,"Open Data Portal | Results 253 - City of Tacoma",203
data.countyofriverside.us,"Riverside County Open Data | Riverside County Open Data",43
data.communityvitalsigns.org,"San Bernardino | Community Vital Signs | San Bernardino | Community Vital Signs",105
data.delaware.gov,"Delaware Data - Delaware.gov: Official Website of the State of Delaware | Delaware Open Data Portal",211
data.energystar.gov,"ENERGY STAR Certified Products | EPA ENERGY STAR | ENERGY STAR",99
data.lcb.wa.gov,"Washington State Liquor and Cannabis Board | Washington State Liquor and Cannabis Board Data Portal (WSLCB)",36
data.medicaid.gov,"Data.Medicaid.gov",2084
data.nj.gov,"Open Data Portal | NJOIT Open Data Center",336
data.navigationdatacenter.us,"Open Data Portal | U.S. Army Corps of Engineers Data Platform",30
data.naperville.il.us,"Open Data Portal | Naperville Open Performance",133
data.muni.org,"Anchorage Open Data | Anchorage Open Data",42
data.monroecounty-fl.gov,"Monroe County FL Open Data Portal | Open Data Portal",3
data.nationalservice.gov,"CNCS Open Data | CNCS Open Data",665
data.pa.gov,"data.pa.gov | PA Open Data Portal",47
data.oce.gov.pr,"OCEPR - Open Data | OCE Open Data",56
data.providenceri.gov,"Open Data | City of Providence | Open Data | City of Providence",203
data.permits.performance.gov,"Open Data Portal | FPISC Reports | Permitting Data Platform",9
data.seattle.gov,"City of Seattle Open Data portal",3007
data.roseville.ca.us,"Roseville | Open Data | Open Data | City of Roseville",39
data.smgov.net,"Santa Monica | Open Data | Open Data - City of Santa Monica",97
data.srcity.org,"Open Data Portal | Rally - Open Data Portal
",172
data.safest.org,"Safe Streets | Open Data Portal | Safe Streets Data",13
data.texas.gov,"State of Texas | Open Data Portal | State of Texas Open Data Portal",615
data.tuscaloosa.com,"Open Data Tuscaloosa | City of Tuscaloosa Open Data",10
data.topeka.org,"Topeka Open Data | Topeka Open Data",432
data.vbgov.com,"Open Data | Open Data",34
esa.data.commerce.gov,"Open Data | Socrata",0
data.cityofnewyork.us,"NYC Open Data - NYC Open Data WP Engine",11309
data.winnipeg.ca,"Open Data Portal | Open Data | City of Winnipeg",488
data.urbanaillinois.us,"Urbana, IL - Open Data Portal | Urbana, IL - Open Data Portal
",37
mbda.data.commerce.gov,"Open Data | Socrata",0
idp.nz,"Internet Data Portal | Open Data",87
openperformance.ramseycounty.us,"Open Performance | Ramsey County",47
opendata.cityofmesquite.com,"Mesquite Texas | Open Data Portal | Mesquite Texas | Open Data Portal
",5
opendata.ramseycounty.us,"Open Data Portal | Open Data | Ramsey County",147
performance.cookcountyil.gov,"Cook County | STAR Performance Management | Cook County | STAR Performance Management",212
pqrs.cms.gov,"PQRS | Open Data | Socrata",221
bronx.lehman.cuny.edu,"Lehman College Community Connect: Bronx Information Portal | Bronx Information Portal | Lehman College",751
performance.providenceri.gov,"Open Data Portal | Open Data Portal
",44
ship.dfs.ny.gov,"NYS-DFS | SHIP Data
",0
tni.princegeorgescountymd.gov,"Transforming Neighborhoods Initiative | Prince George's County | Transforming Neighborhoods Initiative",84
data.chattlibrary.org,"Chattanooga Open Data Portal | Chattanooga Open Data Portal",391
data.auburnwa.gov,"Auburn Open Data | Auburn Open Data",56
data.cityofberkeley.info,"City of Berkeley - Open Data Portal | Open Data | City of Berkeley",57
data.cityoforlando.net,"City of Orlando Open Data Portal | City of Orlando Open Data Portal",33
data.cstx.gov,"College Station - Open Data | CSTX Open Data",43
www.dallasopendata.com,"Dallas OpenData | Dallas OpenData",1593
stat.cityofgainesville.org,"statGNV | Gainesville Performance Dashboard | stataGNV",777
